Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007131,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,19.9,11.3,Gutted,n/a,1.12E+03,7.56E+00,n/a,3.70E+03,2.20E+02,3.00E-03,2.78E-04,n/a,1.83E-03,1.83E-04,9.90E+04,3.27E+05,1.51E-01,n/a,9.18E-02,5.34E+00,7.56E+00,2.54E-01,n/a,3.97E-01
G007132,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,23.5,12.7,Gutted,n/a,7.04E+02,4.40E+00,n/a,5.29E+02,3.15E+01,2.89E-03,4.17E-04,n/a,1.43E-03,2.39E-04,5.54E+04,4.17E+04,1.23E-01,n/a,6.10E-02,2.99E+00,9.62E-01,2.07E-01,n/a,2.64E-01
G007138,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,21.1,13.4,Gutted,n/a,1.88E+02,1.47E+00,n/a,1.48E+02,8.84E+00,4.18E-03,5.30E-04,n/a,2.07E-03,3.15E-04,1.41E+04,1.10E+04,1.98E-01,n/a,9.80E-02,7.58E-01,2.55E-01,3.33E-01,n/a,4.24E-01
G007139,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,17.8,9.35,Gutted,n/a,8.16E+02,3.42E+00,n/a,1.49E+02,8.86E+00,1.22E-03,2.12E-04,n/a,8.40E-04,1.24E-04,8.73E+04,1.59E+04,6.83E-02,n/a,4.72E-02,4.71E+00,3.68E-01,1.15E-01,n/a,2.04E-01
G007140,Myodes glareolus,Bank vole,10/8/2005,Medium,Female,25.8,13.3,Gutted,n/a,2.16E+02,2.01E+00,n/a,3.93E+02,2.33E+01,2.10E-03,3.96E-04,n/a,1.33E-03,2.51E-04,1.62E+04,2.95E+04,8.13E-02,n/a,5.14E-02,8.74E-01,6.83E-01,1.37E-01,n/a,2.22E-01
G007133,Sorex araneus,Common shrew,6/7/2005,Medium,Female,13.2,7.91,Gutted,n/a,3.79E+02,2.05E+00,n/a,2.31E+02,1.37E+01,9.00E-02,2.04E-03,n/a,3.98E-02,1.34E-03,4.80E+04,2.92E+04,6.82E+00,n/a,3.02E+00,2.59E+00,6.75E-01,1.15E+01,n/a,1.30E+01
G007134,Sorex araneus,Common shrew,20/07/2005,Medium,n/a,8.2,4.61,Gutted,n/a,3.06E+01,8.36E-01,n/a,8.21E+01,4.87E+00,2.20E-02,6.96E-04,n/a,9.39E-03,4.40E-04,6.64E+03,1.78E+04,2.69E+00,n/a,1.14E+00,3.58E-01,4.11E-01,4.52E+00,n/a,4.95E+00
G007135,Sorex araneus,Common shrew,2/8/2005,Medium,n/a,12.8,6.98,Gutted,n/a,9.97E+01,1.20E+00,n/a,1.34E+02,8.02E+00,5.36E-02,3.36E-03,n/a,2.19E-02,2.11E-03,1.43E+04,1.92E+04,4.19E+00,n/a,1.71E+00,7.70E-01,4.43E-01,7.05E+00,n/a,7.39E+00
G007137,Sorex araneus,Common shrew,8/8/2005,Medium,n/a,8.1,3.8,Gutted,n/a,6.00E+01,1.29E+00,n/a,1.35E+02,7.86E+00,3.24E-03,3.58E-04,n/a,1.72E-03,2.19E-04,1.58E+04,3.55E+04,4.00E-01,n/a,2.13E-01,8.51E-01,8.21E-01,6.73E-01,n/a,9.20E-01
G007110,Myodes glareolus,Bank vole,8/8/2005,High,Male,27.5,11.04,Recorded biota mass was for partially dry sample,n/a,1.03E+03,1.58E+02,n/a,3.36E+04,1.89E+03,1.04E-02,8.23E-04,n/a,4.88E-03,5.18E-04,9.30E+04,3.04E+06,9.46E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007111,Myodes glareolus,Bank vole,9/8/2005,High,Male,27.5,5.91,Recorded biota mass was for partially dry sample,n/a,2.96E+02,6.64E+01,n/a,1.22E+04,7.18E+02,2.96E-03,4.23E-04,n/a,7.38E-04,1.40E-04,5.01E+04,2.06E+06,5.00E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007112,Myodes glareolus,Bank vole,9/8/2005,High,Female,10.3,9.56,Recorded biota mass was for partially dry sample,n/a,7.02E+02,2.73E+01,n/a,9.44E+03,5.58E+02,3.91E-03,5.14E-04,n/a,2.19E-03,3.24E-04,7.34E+04,9.87E+05,4.09E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007113,Myodes glareolus,Bank vole,8/8/2005,High,Male,18.8,7.43,Recorded biota mass was for partially dry sample,n/a,5.26E+02,2.93E+01,n/a,1.06E+04,6.28E+02,4.32E-03,4.44E-04,n/a,2.04E-03,2.53E-04,7.08E+04,1.43E+06,5.82E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007095,Microtus spp.,Vole species,8/8/2005,High,Female,18.7,9.79,n/a,n/a,2.75E+03,2.81E+01,n/a,6.35E+03,3.20E+02,1.71E-03,1.88E-04,n/a,5.57E-04,6.70E-05,2.81E+05,6.49E+05,1.74E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007096,Microtus spp.,Vole species,8/8/2005,High,Male,17.5,9.51,n/a,n/a,5.41E+03,4.21E+01,n/a,5.54E+03,2.80E+02,6.32E-03,3.81E-04,n/a,3.02E-03,2.31E-04,5.69E+05,5.83E+05,6.64E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007097,Microtus spp.,Vole species,8/8/2005,High,Female,27,14.4,n/a,n/a,3.99E+03,3.86E+01,n/a,6.01E+03,3.05E+02,5.62E-03,4.42E-04,n/a,2.06E-03,2.18E-04,2.77E+05,4.17E+05,3.91E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007098,Microtus spp.,Vole species,8/8/2005,High,Male,24.2,14.26,n/a,n/a,2.44E+03,1.28E+01,n/a,3.13E+03,1.61E+02,6.44E-03,3.96E-04,n/a,3.05E-03,2.44E-04,1.71E+05,2.19E+05,4.51E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007099,Microtus spp.,Vole species,8/8/2005,High,Female,24,13.29,n/a,n/a,4.43E+03,2.88E+01,n/a,6.74E+03,3.42E+02,4.91E-03,3.13E-04,n/a,2.26E-03,1.80E-04,3.33E+05,5.07E+05,3.70E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007109,Microtus spp.,Vole species,8/8/2005,High,Male,17.7,5.4,Recorded biota mass was for partially dry sample,n/a,1.41E+03,2.96E+02,n/a,2.04E+04,1.19E+03,1.22E-02,9.00E-04,n/a,4.79E-03,5.16E-04,2.60E+05,3.78E+06,2.26E+00,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007100,Microtus spp.,Vole species,8/8/2005,High,Female,15.4,12.01,n/a,n/a,3.69E+03,4.78E+01,n/a,5.87E+03,2.98E+02,5.17E-03,3.16E-04,n/a,2.45E-03,1.88E-04,3.07E+05,4.89E+05,4.31E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007101,Microtus spp.,Vole species,8/8/2005,High,Female,29.1,8.19,n/a,n/a,1.02E+03,6.50E+00,n/a,2.41E+03,1.25E+02,2.96E-03,1.68E-04,n/a,9.86E-04,7.15E-05,1.24E+05,2.94E+05,3.61E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007102,Microtus spp.,Vole species,8/8/2005,High,Male,25.9,17.66,n/a,n/a,2.38E+03,9.27E+00,n/a,2.38E+03,1.24E+02,1.03E-02,7.39E-04,n/a,3.62E-03,3.95E-04,1.35E+05,1.35E+05,5.86E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007103,Microtus spp.,Vole species,8/8/2005,High,Female,15.6,10.39,n/a,n/a,1.88E+03,1.56E+01,n/a,5.70E+03,2.90E+02,5.82E-03,2.32E-04,n/a,2.37E-03,1.27E-04,1.81E+05,5.49E+05,5.61E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007104,Microtus spp.,Vole species,8/8/2005,High,Female,31.4,7.47,n/a,n/a,1.35E+03,1.48E+01,n/a,3.87E+03,1.98E+02,1.39E-03,1.45E-04,n/a,7.67E-04,7.55E-05,1.80E+05,5.18E+05,1.86E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007114,Neomys fodiens,Water shrew,8/8/2005,High,n/a,17.3,8.49,n/a,n/a,9.17E+01,1.83E+00,n/a,4.28E+02,2.54E+01,1.19E-01,3.06E-03,n/a,4.90E-02,1.95E-03,1.08E+04,5.04E+04,1.40E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007115,Neomys fodiens,Water shrew,10/8/2005,High,n/a,16.4,6.88,n/a,n/a,4.64E+02,4.72E+00,n/a,1.01E+03,5.99E+01,7.06E-02,2.21E-03,n/a,2.78E-02,1.37E-03,6.74E+04,1.47E+05,1.03E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007116,Sorex araneus,Common shrew,9/8/2005,High,n/a,16.4,4.16,n/a,n/a,2.47E+02,3.28E+00,n/a,5.16E+02,3.07E+01,2.44E-02,1.48E-03,n/a,8.82E-03,8.34E-04,5.93E+04,1.24E+05,5.87E+00,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007117,Sorex araneus,Common shrew,14/07/2005,High,Female,13.6,8.74,n/a,n/a,2.91E+02,8.48E+00,n/a,3.33E+03,1.98E+02,2.05E-01,4.40E-03,n/a,9.39E-02,2.96E-03,3.33E+04,3.81E+05,2.35E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007118,Sorex araneus,Common shrew,14/07/2005,High,n/a,12.7,8.14,n/a,n/a,3.47E+02,3.81E+00,n/a,1.02E+03,6.05E+01,7.98E-02,2.05E-03,n/a,2.74E-02,1.18E-03,4.26E+04,1.25E+05,9.80E+00,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007108,Apodemus flavicollis,Yellow-necked mouse,8/8/2005,High,Male,16.9,13.08,Recorded biota mass was for partially dry sample,n/a,2.26E+03,1.23E+01,n/a,2.59E+03,1.54E+02,3.60E-03,4.76E-04,n/a,1.78E-03,2.75E-04,1.73E+05,1.98E+05,2.75E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004415,Nyctalus noctula,Common noctule,29/05/2004,Red Forest,n/a,25.6,n/a,live counting,n/a,1.98E+02,5.89E+01,n/a,3.30E+02,1.08E+01,n/a,n/a,n/a,n/a,n/a,7.73E+03,1.29E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004416,Nyctalus noctula,Common noctule,29/05/2004,Red Forest,n/a,36.5,n/a,live counting,n/a,2.40E+02,7.12E+01,n/a,3.53E+02,1.15E+01,n/a,n/a,n/a,n/a,n/a,6.59E+03,9.67E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004417,Nyctalus noctula,Common noctule,29/05/2004,Red Forest,n/a,26.8,n/a,live counting,n/a,1.63E+02,4.90E+01,n/a,2.43E+02,8.94E+00,n/a,n/a,n/a,n/a,n/a,6.09E+03,9.07E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004418,Nyctalus noctula,Common noctule,29/05/2004,Red Forest,n/a,31.9,n/a,live counting,n/a,1.12E+02,3.43E+01,n/a,1.96E+02,8.10E+00,n/a,n/a,n/a,n/a,n/a,3.52E+03,6.13E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004421,Nyctalus noctula,Common noctule,29/05/2004,Red Forest,n/a,34.4,n/a,live counting,n/a,1.44E+02,4.32E+01,n/a,3.79E+02,1.26E+01,n/a,n/a,n/a,n/a,n/a,4.17E+03,1.10E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004579,Pipistrellus spp.,n/a,20/06/2004,Pripyat,n/a,7.1,n/a,live counting,n/a,1.14E+01,3.70E+00,n/a,9.80E+00,n/a,n/a,n/a,n/a,n/a,n/a,1.61E+03,1.38E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G004580,Pipistrellus spp.,n/a,20/06/2004,Pripyat,n/a,8.5,n/a,live counting,n/a,2.40E+01,7.45E+00,n/a,1.30E+01,n/a,n/a,n/a,n/a,n/a,n/a,2.83E+03,1.53E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G005561,Eptesicus serotinus,Serotine bat,13/07/2004,Pripyat,n/a,20.8,n/a,dead - whole-body with feather and gut,n/a,1.34E+03,8.46E+00,n/a,1.69E+01,1.98E+00,7.88E-02,n/a,n/a,3.63E-02,n/a,6.42E+04,8.14E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G005861,Pipistrellus spp.,n/a,29/06/2005,Azbuchin lake,Male,7.9,n/a,live counting,n/a,1.16E+01,3.22E+01,n/a,3.12E+01,1.73E+01,n/a,n/a,n/a,n/a,n/a,1.47E+03,3.95E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G005879,Pipistrellus spp.,n/a,30/06/2005,Azbuchin lake,Female,7.8,n/a,live counting,n/a,1.56E+01,2.44E+01,n/a,3.09E+01,1.90E+01,n/a,n/a,n/a,n/a,n/a,2.00E+03,3.96E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G005880,Pipistrellus spp.,n/a,30/06/2005,Azbuchin lake,Female,8.1,n/a,live counting,n/a,1.06E+02,2.47E+01,n/a,1.18E+02,1.70E+01,n/a,n/a,n/a,n/a,n/a,1.30E+04,1.45E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006370,Pipistrellus kuhlii,Kuhl's pipistrelle,6/4/2007,Azbuchin lake,n/a,5.3,n/a,dead,n/a,1.08E+02,1.36E+00,n/a,7.90E+01,2.99E+00,n/a,n/a,n/a,n/a,n/a,2.03E+04,1.49E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006679,Pipistrellus nathusii,Nathusius pipistrelle,14/06/2007,"Cooling pond, site 3",Male,8.4,n/a,live counting,n/a,1.49E+00,6.23E-01,<,1.47E+01,n/a,n/a,n/a,n/a,n/a,n/a,1.78E+02,1.75E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006684,Nyctalus leisleri,Leislers bat,14/06/2007,"Cooling pond, site 3",Female,12.1,n/a,live counting,n/a,4.28E+01,1.28E+01,n/a,1.07E+01,1.77E+01,n/a,n/a,n/a,n/a,n/a,3.54E+03,8.82E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006685,Myotis dasycneme,Pond bat,14/06/2007,"Cooling pond, site 3",Male,15,n/a,live counting,n/a,2.27E+00,8.93E-01,<,1.00E+03,n/a,n/a,n/a,n/a,n/a,n/a,1.51E+02,9.86E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006686,Pipistrellus nathusii,Nathusius pipistrelle,14/06/2007,"Cooling pond, site 3",Female,8,n/a,live counting,n/a,3.00E+01,9.06E+00,n/a,6.92E+00,1.86E+01,n/a,n/a,n/a,n/a,n/a,3.75E+03,8.65E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006687,Pipistrellus nathusii,Nathusius pipistrelle,14/06/2007,"Cooling pond, site 3",Female,8.9,n/a,live counting,n/a,1.10E+01,3.55E+00,<,1.69E+03,n/a,n/a,n/a,n/a,n/a,n/a,1.23E+03,1.48E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006688,Pipistrellus nathusii,Nathusius pipistrelle,14/06/2007,"Cooling pond, site 3",Male,7,n/a,live counting,n/a,4.95E+00,1.70E+00,n/a,7.37E+00,1.86E+01,n/a,n/a,n/a,n/a,n/a,7.07E+02,1.05E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006689,Pipistrellus nathusii,Nathusius pipistrelle,21/06/2007,"Cooling pond, site 2",Male,5.9,n/a,live counting,n/a,2.87E+01,8.71E-01,n/a,2.31E+01,1.68E+01,n/a,n/a,n/a,n/a,n/a,4.86E+03,3.92E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006690,Pipistrellus nathusii,Nathusius pipistrelle,21/06/2007,"Cooling pond, site 2",Female,7.1,n/a,live counting,n/a,3.25E+01,9.46E-01,n/a,1.60E+01,1.73E+01,n/a,n/a,n/a,n/a,n/a,4.58E+03,2.25E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006691,Pipistrellus nathusii,Nathusius pipistrelle,21/06/2007,"Cooling pond, site 2",Female,9.4,n/a,live counting,n/a,8.88E+01,1.36E+00,n/a,1.68E+01,1.72E+01,n/a,n/a,n/a,n/a,n/a,9.45E+03,1.79E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006986,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Male,6.5,n/a,live counting,n/a,7.01E+01,2.11E+00,n/a,6.16E+00,2.18E+01,n/a,n/a,n/a,n/a,n/a,1.08E+04,9.47E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006987,Pipistrellus pygmaeus,Soprano pipistrelle,24/07/2007,Izumrudnoe,Female,4.8,n/a,live counting,n/a,5.52E+01,3.41E+00,n/a,1.38E+01,1.86E+01,n/a,n/a,n/a,n/a,n/a,1.15E+04,2.88E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006988,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Male,6.4,n/a,live counting,n/a,1.31E+01,2.91E+00,<,6.52E+00,n/a,n/a,n/a,n/a,n/a,n/a,2.05E+03,1.02E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006989,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Female,7.4,n/a,live counting,n/a,2.82E+01,4.34E+00,n/a,9.00E+01,2.50E+01,n/a,n/a,n/a,n/a,n/a,3.81E+03,1.22E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006990,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Female,7.8,n/a,live counting,n/a,1.47E+01,2.72E+00,n/a,8.38E+00,2.06E+01,n/a,n/a,n/a,n/a,n/a,1.89E+03,1.07E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006991,Pipistrellus pygmaeus,Soprano pipistrelle,24/07/2007,Izumrudnoe,Female,5.1,n/a,live counting,n/a,1.24E+00,2.98E+00,n/a,9.49E+00,1.91E+01,n/a,n/a,n/a,n/a,n/a,2.42E+02,1.86E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006992,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Male,7,n/a,live counting,n/a,1.45E+00,1.91E+00,<,2.14E+03,n/a,n/a,n/a,n/a,n/a,n/a,2.07E+02,8.20E+01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006993,Pipistrellus pygmaeus,Soprano pipistrelle,24/07/2007,Izumrudnoe,Female,4.5,n/a,live counting,n/a,5.42E+01,3.35E+00,<,3.33E+03,n/a,n/a,n/a,n/a,n/a,n/a,1.20E+04,7.55E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G006994,Pipistrellus pygmaeus,Soprano pipistrelle,24/07/2007,Izumrudnoe,Male,4,n/a,live counting,<,1.93E+01,n/a,<,3.75E+03,n/a,n/a,n/a,n/a,n/a,n/a,4.83E+03,3.81E+02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007105,Pipistrellus kuhlii,Kuhl's pipistrelle,10/11/2007,Azbuchin lake,n/a,1.2,n/a,Sample mummified on collection,n/a,2.01E+01,1.67E-01,n/a,1.07E+01,6.92E-01,n/a,n/a,n/a,n/a,n/a,1.66E+04,8.84E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007106,Pipistrellus kuhlii,Kuhl's pipistrelle,10/11/2007,Azbuchin lake,n/a,1.1,n/a,Sample mummified on collection,n/a,1.38E+01,3.48E-01,n/a,4.88E+01,2.54E+00,n/a,n/a,n/a,n/a,n/a,1.21E+04,4.28E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007107,Pipistrellus nathusii,Nathusius pipistrelle,24/07/2007,Izumrudnoe,Female,7.4,n/a,live counting,n/a,1.73E+01,4.39E+00,n/a,1.08E+01,1.92E+01,n/a,n/a,n/a,n/a,n/a,2.34E+03,1.45E+03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
